Symbol,Name,Current Price,Market Cap,P/E Ratio,ROE,ROCE,Book Value,Dividend Yield
INFY,Infosys Limited,1536.3,638262.0,23.45,28.8,37.5,249.0,2.8
TCS,Tata Consultancy Services Limited,3149.8,1137997.0,23.0,52.4,64.6,294.0,1.91
RELIANCE,Reliance Industries Limited,1549.5,2096660.0,21.86,8.4,9.69,648.0,0.36
ICICIBANK,ICICI Bank Limited,1382.0,988482.0,17.53,17.9,7.87,466.0,0.8
ITC,ITC Limited,405.6,507979.0,25.05,27.3,36.8,56.7,3.54
HDFCBANK,HDFC Bank Limited,1008.6,1551511.0,20.94,14.4,7.51,351.0,1.09
SBIN,State Bank of India,981.05,906308.0,11.2,17.2,6.47,617.0,1.62
BHARTIARTL,Bharti Airtel Limited,2160.0,1293664.0,39.53,23.2,13.5,207.0,0.74
HINDUNILVR,Hindustan Unilever Limited,2429.0,570773.0,53.74,20.7,27.8,207.0,1.77
LICI,Life Insurance Corporation Of India,907.3,574531.0,11.87,45.7,53.1,224.0,1.32
